doc_id,Date,URL
1UKSC.txt,2008-12-14,https://www.bailii.org/uk/cases/UKSC/2009/1.html
2UKSC.txt,2009-10-29,https://www.bailii.org/uk/cases/UKSC/2009/3.html
3UKSC.txt,2009-10-29,https://www.bailii.org/uk/cases/UKSC/2009/2.html
4UKSC.txt,2008-12-26,https://www.bailii.org/uk/cases/UKSC/2009/8.html
5UKSC.txt,2008-12-19,https://www.bailii.org/uk/cases/UKSC/2009/5.html
6UKSC.txt,2008-12-26,https://www.bailii.org/uk/cases/UKSC/2009/7.html
7UKSC.txt,2009-11-19,https://www.bailii.org/uk/cases/UKSC/2009/4.html
8UKSC.txt,2008-12-25,https://www.bailii.org/uk/cases/UKSC/2009/6.html
9UKSC.txt,2008-12-09,https://www.bailii.org/uk/cases/UKSC/2009/12.html
10UKSC.txt,2008-12-01,https://www.bailii.org/uk/cases/UKSC/2009/9.html
11UKSC.txt,2008-12-09,https://www.bailii.org/uk/cases/UKSC/2009/13.html
12UKSC.txt,2008-12-16,https://www.bailii.org/uk/cases/UKSC/2009/15.html
13UKSC.txt,2009-12-09,https://www.bailii.org/uk/cases/UKSC/2009/14.html
14UKSC.txt,2008-12-01,https://www.bailii.org/uk/cases/UKSC/2009/10.html
15UKSC.txt,2008-12-16,https://www.bailii.org/uk/cases/UKSC/2009/16.html
16UKSC.txt,2009-12-14,https://www.bailii.org/uk/cases/UKSC/2009/17.html
17UKSC.txt,2009-12-01,https://www.bailii.org/uk/cases/UKSC/2009/11.html
18UKSC.txt,2010-01-27,https://www.bailii.org/uk/cases/UKSC/2010/1.html
19UKSC.txt,2010-01-27,https://www.bailii.org/uk/cases/UKSC/2010/2.html
20UKSC.txt,2010-01-27,https://www.bailii.org/uk/cases/UKSC/2010/3.html
21UKSC.txt,2009-12-10,https://www.bailii.org/uk/cases/UKSC/2010/6.html
22UKSC.txt,2009-12-03,https://www.bailii.org/uk/cases/UKSC/2010/4.html
23UKSC.txt,2010-02-04,https://www.bailii.org/uk/cases/UKSC/2010/5.html
24UKSC.txt,2009-12-10,https://www.bailii.org/uk/cases/UKSC/2010/7.html
25UKSC.txt,2010-02-24,https://www.bailii.org/uk/cases/UKSC/2010/9.html
26UKSC.txt,2010-02-17,https://www.bailii.org/uk/cases/UKSC/2010/8.html
27UKSC.txt,2009-12-10,https://www.bailii.org/uk/cases/UKSC/2010/13.html
28UKSC.txt,2010-03-24,https://www.bailii.org/uk/cases/UKSC/2010/16.html
29UKSC.txt,2009-12-17,https://www.bailii.org/uk/cases/UKSC/2010/15.html
30UKSC.txt,2009-12-03,https://www.bailii.org/uk/cases/UKSC/2010/11.html
31UKSC.txt,2010-03-03,https://www.bailii.org/uk/cases/UKSC/2010/10.html
32UKSC.txt,2009-12-10,https://www.bailii.org/uk/cases/UKSC/2010/14.html
33UKSC.txt,2010-03-03,https://www.bailii.org/uk/cases/UKSC/2010/12.html
34UKSC.txt,2009-12-21,https://www.bailii.org/uk/cases/UKSC/2010/17.html
35UKSC.txt,2010-05-05,https://www.bailii.org/uk/cases/UKSC/2010/18.html
36UKSC.txt,2009-12-05,https://www.bailii.org/uk/cases/UKSC/2010/19.html
37UKSC.txt,2010-05-26,https://www.bailii.org/uk/cases/UKSC/2010/23.html
38UKSC.txt,2010-05-19,https://www.bailii.org/uk/cases/UKSC/2010/22.html
39UKSC.txt,2009-12-12,https://www.bailii.org/uk/cases/UKSC/2010/20.html
40UKSC.txt,2009-12-12,https://www.bailii.org/uk/cases/UKSC/2010/21.html
